Cluster	geneID
0	Pf4
0	Apoe
0	Cx3cr1
0	Csf1r
2	Cd79a
2	Ighd
2	Ebf1
2	Iglc2
1	Cxcl9
1	C3
1	Vcam1
1	Zmynd15
4	Ifitm6
4	Ear2
4	Ly6c2
4	Ly6c1
3	Cbr2
3	Folr2
3	Igfbp4
5	Cd3g
5	Cd3d
5	Cd3e
5	Cd28
6	Gzma
6	Nkg7
6	Ncr1
6	Eomes
7	S100a9
7	Trem1
7	Hdc
7	Cxcr2
9	Xcr1
9	Septin3
9	Ffar4
9	Cldn1
8	Birc5
8	Top2a
8	Mki67
10	Ptpn13
10	Il5
10	Gata3
12	Cd300c
12	Ccr9
12	Siglech
