Sample	group	batch	seqType
7_20200707_Mu_Heart_TCRM_total_cell_1_v3	TCRMxCcl19	batch1	sc
8_20200707_Mu_Heart_TCRM_total_cell_2_v3	TCRMxCcl19	batch1	sc
5_20200707_Mu_Heart_LM_total_cell_1_v3	Ccl19	batch1	sc
6_20200707_Mu_Heart_LM_total_cell_2_v3	Ccl19	batch1	sc
9_20210429_Mu_nucleoi_seq_Ccl19CreEYFP_Heart_LM_1_V3	Ccl19	batch2	sn
10_20210429_Mu_nucleoi_seq_Ccl19CreEYFP_Heart_LM_2_V3	Ccl19	batch2	sn
11_20210429_Mu_nucleoi_seq_Ccl19CreEYFP_Heart_TCRM_1_V3	TCRMxCcl19	batch2	sn
12_20210429_Mu_nucleoi_seq_Ccl19CreEYFP_Heart_TCRM_2_V3	TCRMxCcl19	batch2	sn

